iso3_code,country_name,gdp_pcap_ppp,life_expectancy
MEA,"Middle East, North Africa, Afghanistan & Pakistan",14241.9968898837,71.6918319737772
LMC,Lower middle income,8238.69538193574,69.3010946755529
LIC,Low income,2312.38443050134,63.4583102800447
LMY,Low & middle income,12850.9532394402,71.6849231239061
LDC,Least developed countries: UN classification,3853.83273030739,65.7631857632163
TLA,Latin America & the Caribbean (IDA & IBRD countries),19256.4973758813,74.5684293540859
LAC,Latin America & Caribbean (excluding high income),18478.2971735689,74.4897262626475
LCN,Latin America & Caribbean,19352.1819162164,74.6472095421659
LTE,Late-demographic dividend,22819.7257752693,76.9543256667468
IDA,IDA total,4924.78728035756,64.8822902939527
IDX,IDA only,4079.70265824005,66.3600605315493
IDB,IDA blend,6528.77500867617,62.1288641416852
IBT,IDA & IBRD total,13672.1547499022,71.677581962506
IBD,IBRD only,16991.0252581932,74.2512624750087
HIC,High income,56863.1572458399,79.4309739106372
HPC,Heavily indebted poor countries (HIPC),3090.26152222753,63.8404458555462
FCS,Fragile and conflict affected situations,5693.99860611589,62.702271566254
EUU,European Union,53648.5391652011,80.7135056290876
TEC,Europe & Central Asia (IDA & IBRD countries),29994.0772747516,74.1883654842503
ECA,Europe & Central Asia (excluding high income),22207.9612475691,74.5731684190474
ECS,Europe & Central Asia,43327.4955266552,77.8344787151258
EMU,Euro area,56014.5098081467,81.6232025628471
TEA,East Asia & Pacific (IDA & IBRD countries),18808.7249692887,75.9610347461336
EAP,East Asia & Pacific (excluding high income),18600.020880698,75.9325409436903
EAS,East Asia & Pacific,22175.197366634,76.6767167147452
EAR,Early-demographic dividend,11378.5486537272,71.4304552508694
CEB,Central Europe and the Baltics,41296.2030890882,76.6522987292583
CSS,Caribbean small states,27046.7067687718,72.8322921090607
ARB,Arab World,16905.4902749583,71.8760955992222
AFW,Africa Western and Central,5806.17289006101,57.9878133945189
AFE,Africa Eastern and Southern,4106.50190693219,64.4870195456608
